configuration,channel,median_trial_std_uv,median_trial_peak_to_peak_uv,median_channel_correlation,line_noise_ratio_50hz,median_edge_to_middle_rms_ratio,suspect,suspect_reasons
bandpass_0p5_45,E2,98.04629949627895,522.8181590227955,0.9346414013512827,20226.75492756324,0.9918676124967337,False,
bandpass_0p5_45,E3,95.00178508551238,426.33954346589746,0.9515230963079856,19657.17591828862,0.9931835400420589,False,
bandpass_0p5_45,E4,93.57498370982941,402.0076044196554,0.9667077637089787,33558.27714067358,0.9979448067398915,False,
bandpass_0p5_45,E5,95.55324625525583,394.0382116330285,0.9714650097637774,50769.8259458779,0.9959870252177069,False,
bandpass_0p5_45,E6,80.52621195008709,332.26056440763523,0.9275929352377105,55364.719478719075,0.9985229521624361,False,
bandpass_0p5_45,E7,49.73492104572773,179.21209050047992,0.5852852195756325,39397.37301250457,1.000719818678997,True,variance_outlier;low_correlation
bandpass_0p5_45,E8,113.85577488769098,866.2351131831917,0.8048473430797617,14014.960238295662,1.0319469800743324,True,low_correlation
bandpass_0p5_45,E9,89.3555831240725,514.4943845501648,0.944093251709334,23900.818683866888,0.9962330348154794,False,
bandpass_0p5_45,E10,86.97522425956737,418.20755981807065,0.961479742774301,30213.43076148956,0.99511429503124,False,
bandpass_0p5_45,E11,91.50572438329229,432.42473829527864,0.96480283348582,45177.05256490249,0.9966711342298111,False,
bandpass_0p5_45,E12,97.29903247238289,365.44589736799855,0.9650612189433159,50798.38512578473,0.9994148520837163,False,
bandpass_0p5_45,E13,74.83087570885992,276.44684425739,0.9458085169407096,39350.031739393766,1.0071086736783648,False,
bandpass_0p5_45,E14,97.58179177476282,662.132507109063,0.9182969344477279,19273.73981061675,0.9920553268875338,False,
bandpass_0p5_45,E15,101.67924532468848,544.1012319663715,0.949495785321538,29552.64701025843,0.998218738213509,False,
bandpass_0p5_45,E16,94.9014819852775,467.0262317762173,0.9615223778440426,32710.684861607726,0.9969336030176555,False,
bandpass_0p5_45,E17,100.08641303001798,594.5438000990922,0.9485546589005136,16745.76464828055,1.0011508452594242,False,
bandpass_0p5_45,E18,104.70095911364852,459.1559032753944,0.9610426559015939,33238.27276900031,0.9977078279926129,False,
bandpass_0p5_45,E19,91.91266619070774,372.8874006560868,0.9741239605340176,40820.173839156574,0.99552086347767,False,
bandpass_0p5_45,E20,91.68879378853228,345.5377450462653,0.9755855132456984,34458.38561584824,1.0014805089381928,False,
bandpass_0p5_45,E21,100.34016991086706,673.2886159322198,0.9258363172666664,18101.270830056324,1.0109852663674332,False,
bandpass_0p5_45,E22,95.60473650098449,535.1210891989876,0.9540140100031635,22277.533222699152,1.0031051130087993,False,
bandpass_0p5_45,E23,70.64438720391936,348.40268323131517,0.9251150827173279,12665.05408669806,0.9963811941272238,False,
bandpass_0p5_45,E24,94.9295183758995,374.8820453033485,0.9684532549943624,22397.82359896113,1.0011562368123024,False,
bandpass_0p5_45,E25,105.96574506087566,792.460286672808,0.8572054856239064,14759.21157368258,1.045365631573679,True,low_correlation
bandpass_0p5_45,E26,104.735958514549,540.9369708287945,0.9591630488286831,16435.615634343692,0.9983125883977889,False,
bandpass_0p5_45,E27,98.88667718499372,396.0436292189176,0.9486940599049903,11934.781337621875,0.9970572177353311,False,
bandpass_0p5_45,E28,105.23053346914139,424.5620822243953,0.9571800325822566,12847.92279501721,0.9979463113507484,False,
bandpass_0p5_45,E29,86.52636103554669,289.6551354152716,0.9683870347847932,28695.863363762535,1.002868191687978,False,
bandpass_0p5_45,E30,79.09892980190605,271.9164436566911,0.9591630488286832,29392.395943907763,1.0053065479948662,False,
