channel,mean_uv,global_std_uv,global_peak_to_peak_uv,sampled_local_std_uv,sampled_local_peak_to_peak_uv,flat_fraction,nonfinite_values,median_channel_correlation,line_noise_ratio_50hz,high_frequency_ratio_35_45_to_8_30,robust_z_log_std,robust_z_log_peak_to_peak,robust_z_log_line_noise,robust_z_log_high_frequency,robust_z_median_correlation,suspect,suspect_reasons
E67,-32992.45241758085,54580.76986691609,480933.2656249999,195.06953684412912,644.9949843846259,0.00014538139622512753,0,0.9908546703141836,56482.06908536956,0.041860723630191374,-0.3929818014387593,-0.5854521309814356,1.161434383957352,-2.0101604562445012,0.16384778760271201,False,
E68,-38141.53292363988,52137.806392176375,658790.125,241.01473163281355,1051.9651830679177,0.00048806611589864246,0,0.9929832458324607,29523.439644419614,0.08322265392236268,1.4006818057880759,1.5432258077159822,0.2725465559683417,-0.7870731345494785,0.6527632063297305,False,
E69,-39723.595420558624,50764.43080630281,615307.53125,220.40313293548894,773.7660821875616,0.00014389791259017726,0,0.9932929422782668,17777.557817627287,0.10403660470622292,0.6425181238343166,0.20665454049422097,-0.422473255844107,-0.38976118995036785,0.7238978060559077,False,
E70,-33444.43871216452,54364.62186653659,616333.90625,220.86518514031457,760.403461435958,0.0001349970107804756,0,0.9906702611709053,44517.463165312154,0.04371879453853885,0.6602782090347058,0.13084795036741242,0.8352747908876551,-1.932859838198788,0.12149059955424912,False,
E71,-30453.52719072702,56186.66740570106,617951.1875,204.4730647233987,692.0594167829204,0.00012757959260572418,0,0.9719042229226816,57922.22938336916,0.03186739597989633,0.006286211894282651,-0.27897300003395686,1.1959327537268007,-2.4956504157427175,-4.1889063627316325,True,low_correlation
E72,-30774.334714668286,55847.00295375053,533245.015625,204.9183124955859,690.2020964572225,0.00013796397805037613,0,0.9757682705932569,65691.18670370919,0.030252479373745325,0.024732960185935925,-0.29066730863255064,1.3683882597281514,-2.5882138915929116,-3.3013679744438464,False,
E73,-37670.4526625061,51934.593850179655,492341.234375,166.67078872307638,676.6054207067916,0.00014686487986007783,0,0.9929307095411007,12069.351216870105,0.11658433422447669,-1.7272817220478653,-0.3772472727748132,-0.953098965639019,-0.18708178732165426,0.640696073795295,False,
E74,-32887.57753872872,54714.76955829157,449288.796875,215.43973487070787,760.199379800066,0.00013203004351057502,0,0.9839349973796835,20097.506543915133,0.12381150458076112,0.44935486429039,0.1296798885565965,-0.25440868425662044,-0.08002985691258158,-1.4255413419704688,False,
E75,-35910.99326459588,52963.36342266364,662323.625,201.65968354044338,708.7509079917932,0.00013203004351057502,0,0.9923529836420065,51232.749839795244,0.02995616213492127,-0.111210064074508,-0.1752645717704624,1.027781346477997,-2.605733478448209,0.507997422777395,False,
E76,-29951.48142549655,56287.985532785286,652042.28125,196.85380747740342,689.2418000932792,0.00013054655987562472,0,0.9721686135458005,59934.04074546374,0.025885398687480767,-0.31576368882190575,-0.29672600245594694,1.2427153037724827,-2.865696553854882,-4.128178119312624,True,low_correlation
E77,-29589.02155806853,56551.60970357475,611519.75,194.2616255751393,654.9064377644656,0.00014538139622512753,0,0.9736844952105934,64156.21254039568,0.025121941662351294,-0.4281784822218896,-0.519091113939365,1.335991976677453,-2.9189817557525406,-3.779993188818485,True,low_correlation
E78,-32855.27832434274,54540.667759120886,654983.03125,118.12549177030004,415.61672738579273,0.00015873274893968007,0,0.9858407180063496,35612.73462846501,0.04537213261140187,-4.6469233413953885,-2.4978834983601126,0.5294807482803542,-1.8667904453128599,-0.9878137677487262,True,variance_outlier
E79,-32920.32270476459,54529.85534896831,460265.20312499994,412.7287891955432,1215.0909248321516,0.00013054655987562472,0,0.9747552633941458,122936.03954690971,0.06838896695942069,5.962673418761792,2.170545804488607,2.2270783542912658,-1.1364792098780174,-3.5340469819181943,True,variance_outlier;low_correlation
E80,-34018.86323296546,53879.95951223106,326749.828125,471.8159950834938,1371.1667122896838,0.00012906307624067445,0,0.9729014098789461,124072.73321158241,0.2000944448860274,7.09736395724705,2.6964050260888297,2.2396891144577684,0.7743675469257171,-3.9598611284494076,True,variance_outlier;low_correlation
E81,-35600.72461306774,53447.41568371804,664948.5,238.75082301462731,953.0041110940392,0.00019730332344838737,0,0.9908441271393474,24841.037826985354,0.09449936866055345,1.3206450201229216,1.113306046626208,0.03593389278007007,-0.5608966414100228,0.16142611137112917,False,
E82,-36692.629296940846,53037.59552819112,652207.34375,214.58832370770017,753.4037713983341,0.0001809850034639343,0,0.9934068782667536,31388.22062082406,0.07197467544426785,0.41577339448532746,0.09060507335478803,0.3564674820409346,-1.0455220036447912,0.7500679189040363,False,
E83,-30890.575206367826,56540.296828198945,660528.15625,204.84149324621225,716.5602650979963,0.00034120123603856463,0,0.9762809338404808,51469.080198635376,0.02753187103936273,0.021553178559004103,-0.12757892995912226,1.0340872778164296,-2.7559394572447,-3.1836136528187913,False,
E84,-30138.50849558351,57117.66919319174,655530.71875,206.87922374376387,711.092089391552,0.0006141622248694164,0,0.9711723800815407,54729.48146680064,0.02675186908733588,0.10549998085406632,-0.1609138802812258,1.1182454048672417,-2.80709327866098,-4.3570043447136895,True,low_correlation
E85,-32467.705892101898,55751.92282782995,662221.9375,195.13996872880554,665.038454259,0.0006631171848227756,0,0.9856940623337523,54235.902279214184,0.040963904257329396,-0.38992034519674523,-0.4522834460372816,1.105832357988975,-2.0487069362977652,-1.0214993095399063,False,
E86,-32424.168089530936,54952.26306811659,584226.3125,166.08967031224347,543.1412620974652,0.00014538139622512753,0,0.9835548615970816,40526.412222902654,0.07353392396247972,-1.7569020558328765,-1.3333729394767948,0.7065771764351448,-1.007374548774806,-1.5128552491953136,False,
E87,-35117.265028942624,53779.15715748937,425107.97656249994,466.7158082125635,1372.6462823511122,0.00013054655987562472,0,0.9739480762836905,129643.71469838954,0.14564304201728853,7.005192181025868,2.7010981147804523,2.2998702034457343,0.20902088155118964,-3.719450892049942,True,variance_outlier;low_correlation
E88,-36609.294935971244,53353.55561884597,662286.4375,209.43161463304193,768.0074367817274,0.0005933934539801124,0,0.9922452542485855,24565.025562283237,0.09095147553780143,0.20948996124827643,0.1741473476207993,0.02062443580774462,-0.6290075965909095,0.4832529112289837,False,
E89,-35273.38815325246,54130.89819231925,665727.59375,212.94129118929783,721.7192297615311,0.000680918988442179,0,0.9926536970214821,31478.14842889313,0.05615879150477972,0.35043105115141654,-0.09636137966287711,0.36038745494871205,-1.4871671335850263,0.5770686897259698,False,
E90,-32868.58537607455,55487.05915537554,666316.3125,201.84655342629532,712.2199077313209,0.0007298739483955382,0,0.9884729431095516,42348.36835504974,0.03661283819347569,-0.10335507318001114,-0.1540175694690072,0.7668321146387803,-2.248574547930755,-0.38321438780404105,False,
E91,-32752.819770150727,55588.356667377666,664173.34375,194.39509422963465,664.7936865444565,0.000691303373886831,0,0.98705296818755,39663.917318999345,0.04399791554330306,-0.42235383395170495,-0.4538853445778236,0.6771018633949037,-1.9215323422565929,-0.709370367524339,False,
E92,-33960.42816671817,54938.85426885092,662481.46875,180.63610581724242,591.1927530317865,0.0007313574320304885,0,0.9912863713919309,31487.982940815957,0.08877915661312859,-1.044898700041269,-0.9644772495754612,0.36081546398946096,-0.672034976116729,0.2630057979149562,False,
E93,-33952.387160520964,54899.811470392575,663986.4375,169.322379811487,557.9677115539256,0.0007639940719993948,0,0.9912043648292206,22875.933453398015,0.10514298828905372,-1.5934245313042354,-1.216177475813341,-0.07698473524384963,-0.3709328199862843,0.2441695984935145,False,
